donor,group,LepRa_CPM,LepRb_CPM,LepRb_fraction
ctrl1,control,3.367,0.067,0.0194
ctrl2,control,1.000,0.000,0.0000
ctrl3,control,1.733,0.133,0.0714
ctrl4,control,1.833,0.000,0.0000
ctrl5,control,0.233,0.000,0.0000
AD1,AD,2.300,0.100,0.0417
AD2,AD,1.500,0.033,0.0217
AD3,AD,1.333,0.067,0.0476
AD4,AD,0.567,0.000,0.0000
DM1_1,DM1,1.967,0.000,0.0000
DM1_2,DM1,0.767,0.000,0.0000
DM1_3,DM1,0.233,0.000,0.0000
DM1_4,DM1,0.667,0.000,0.0000
